="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="gdp_growth",="62",="4.781495",="3.928799",="-5.750007",="11.43938"
="trade_gdp",="63",="34.24363",="18.82945",="5.726872",="81.17013"
="investment",="63",="25.97323",="4.267646",="16.95279",="32.97471"
="inflation",="63",="32.10197",="28.79452",="1.119638",="105.215"
="govt_exp",="15",="24.5698",="1.823256",="22.10645",="28.14363"
="tertiary_educ",="49",=".6266737",=".2427231",=".20193",="1.03682"
="N",="63",="",="",="",=""
